timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861910.7457604,70,51,45236,15430,14797,5329,2227,relaxado
1748861911.7690618,57,50,37022,37299,21198,4108,1257,relaxado
1748861912.7645364,53,38,179209,21851,6311,9029,3860,relaxado
1748861913.7593052,30,27,163204,62407,10172,10068,1588,relaxado
1748861914.7564666,26,27,62754,41394,35530,11721,5761,relaxado
1748861915.7578378,26,16,50520,45841,9160,11808,2446,relaxado
1748861916.7583756,16,20,405474,21521,6291,2373,980,relaxado
1748861917.7522821,24,20,167476,47952,11197,33914,6639,relaxado
1748861918.748773,44,17,1174,2923,3998,4463,1613,relaxado
1748861919.7455606,63,13,4853,8795,1177,3565,1906,relaxado
1748861920.738571,84,24,5040,1272,3286,2195,1393,relaxado
1748861921.7357311,91,40,66990,8180,9745,4548,1342,relaxado
1748861922.7623186,83,40,3122,3114,3311,2996,979,relaxado
1748861923.7627554,70,54,148219,19727,9854,4595,1436,relaxado
1748861924.752413,53,40,74999,24060,5934,4624,2238,relaxado
1748861925.7511616,63,26,214205,15331,4501,10403,4399,relaxado
1748861926.7803907,54,26,49629,23502,20091,10075,3769,relaxado
1748861927.7458162,56,27,9006,14831,10029,3624,1926,relaxado
1748861928.77482,63,40,28374,8299,7886,4299,860,relaxado
1748861929.767818,41,57,11623,5687,10938,2369,1844,relaxado
1748861930.7581484,54,69,323,1722,15436,5863,1048,relaxado
1748861931.75457,64,67,139654,8388,4807,4867,3091,relaxado
1748861932.749266,48,47,804486,106794,6672,5278,8003,relaxado
1748861933.7494242,48,47,29907,3207,7511,2313,1864,relaxado
1748861934.7457461,40,47,759,1010,12823,4709,1729,relaxado
1748861935.7385197,44,48,807,3997,4041,4385,1754,relaxado
1748861937.7562535,61,63,2371,8389,3667,1578,717,relaxado
